,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice
333,Townhouse,"$2,941",1607 sqft,No,$507,R2865809,,Residential,1990,,"110 - 5360 201 St, Langley, BC",2,4,1,27/03/2024,"$814,888"
334,Townhouse,"$2,466",1337 sqft,No,$463,R2862174,,Residential,1971,,"6 - 5351 200 St, Langley, BC",1,3,1,25/03/2024,"$619,600"
335,Single Family Residence,"$93,801",2306 sqft,Yes,"$10,407",R2860904,,Residential,1983,,"3386 200 St, Langley, BC",2,4,6,17/03/2024,"$23,999,000"
336,Single Family Residence,"$2,507",3225 sqft,Yes,$539,R2860991,,Residential,2024,,"20546 75 Ave, Langley, BC",6,6,4,17/03/2024,"$1,739,998"
337,Apartment/Condominium,"$1,836",792 sqft,Yes,$742,R2859724,,Residential,2020,,"307 - 20686 Eastleigh Cres, Langley, BC",2,2,2,14/03/2024,"$588,000"
338,Single Family Residence,,4820 sqft,Yes,$617,R2860397,,Residential,2025,,"4601 215 B St, Langley, BC",5,5,3,14/03/2024,"$2,975,000"
339,Single Family Residence,"$5,533",2052 sqft,Yes,$670,R2860177,,Residential,1983,,"21219 93 Ave, Langley, BC",2,4,4,12/03/2024,"$1,375,000"
340,Single Family Residence,"$8,472",5675 sqft,Yes,"$1,101",R2860865,,Residential,2022,,"1997 240 St, Langley, BC",5,4,20,17/03/2024,"$6,250,000"
341,Single Family Residence,"$7,551",4527 sqft,Yes,$459,R2859954,,Residential,2014,,"4814 201 St, Langley, BC",4,7,10,15/03/2024,"$2,080,000"
342,Single Family Residence,"$5,263",7685 sqft,Yes,$689,R2861025,,Residential,2018,,"1812 232 St, Langley, BC",9,10,0,17/03/2024,"$5,299,000"
343,Single Family Residence,"$2,257",3083 sqft,Yes,$609,R2851992,,Residential,2024,,"6813 205 St, Langley, BC",6,7,4,21/02/2024,"$1,879,000"
344,Single Family Residence,"$2,518",4092 sqft,Yes,"$2,590",R2852395,,Residential,1975,,"4665 233 St, Langley, BC",2,4,2,22/02/2024,"$10,600,000"
345,Apartment/Condominium,$910,890 sqft,Yes,$671,R2854198,,Residential,2007,,"407 - 19730 56 Ave, Langley, BC",2,2,2,25/02/2024,"$598,000"
346,Apartment/Condominium,"$1,074",1602 sqft,Yes,$623,R2853941,,Residential,2017,,"111 - 8157 207 St, Langley, BC",2,3,2,26/02/2024,"$998,800"
347,Apartment/Condominium,"$2,034",940 sqft,Yes,$669,R2853094,,Residential,2013,,"112 - 20068 Fraser Highway, Langley, BC",2,2,1,25/02/2024,"$629,000"
348,Manufactured Home,"$1,258",1282 sqft,Yes,$337,R2840753,,Residential,1995,,"155 - 9080 198 St, Langley, BC",2,2,2,22/02/2024,"$432,500"
349,Single Family Residence,"$17,010",2000 sqft,Yes,"$4,750",R2853201,,Residential,1979,,"20050 32 Ave, Langley, BC",2,3,8,22/02/2024,"$9,500,000"
350,Single Family Residence,"$6,306",3519 sqft,Yes,$482,R2852596,,Residential,2007,,"7227 199a St, Langley, BC",4,6,4,23/02/2024,"$1,699,000"
351,Apartment/Condominium,,477 sqft,Yes,"$1,005",R2844484,,Residential,2025,,"509 - 5504 Brydon Cres, Langley, BC",1,1,1,25/01/2024,"$479,500"
352,Multi Family,"$4,600",2425 sqft,Yes,$548,R2845167,,Residential,2024,,"7381 197 St, Langley, BC",3,4,2,26/01/2024,"$1,329,000"
353,Single Family Residence,"$6,352",562 sqft,Yes,"$4,804",R2845211,,Residential,9999,,"5435 203 St, Langley, BC",0,1,0,23/01/2024,"$2,700,000"
354,Single Family Residence,"$4,013",3396 sqft,Yes,$940,R2841548,,Residential,1978,,"21660 76b Ave, Langley, BC",2,4,0,24/01/2024,"$3,195,000"
355,Single Family Residence,"$6,989",1123 sqft,Yes,"$2,404",R2845638,,Residential,9999,,"5445 203 St, Langley, BC",0,1,2,23/01/2024,"$2,700,000"
356,Apartment/Condominium,,477 sqft,Yes,"$1,005",R2844480,,Residential,2025,,"507 - 5504 Brydon Cres, Langley, BC",1,1,1,25/01/2024,"$479,500"
357,Single Family Residence,"$10,972",7169 sqft,Yes,"$1,366",R2844055,,Residential,2019,,"2218 240 St, Langley, BC",8,8,30,23/01/2024,"$9,800,000"
358,Single Family Residence,"$6,715",2021 sqft,Yes,"$2,473",R2817944,,Residential,1979,,"21175 42a Ave, Langley, BC",3,3,8,20/09/2023,"$4,999,000"
359,Single Family Residence,"$8,266",4940 sqft,No,$910,R2817206,,Residential,1990,,"22787 24 Ave, Langley, BC",4,6,4,20/09/2023,"$4,500,000"
360,Apartment/Condominium,,637 sqft,Yes,$875,R2820092,,Residential,2025,,"415 - 5398 207 St, Langley, BC",1,1,1,25/09/2023,"$558,000"
361,Apartment/Condominium,,638 sqft,Yes,$858,R2820090,,Residential,2025,,"307 - 5398 207 St, Langley, BC",1,1,1,25/09/2023,"$548,000"
362,Single Family Residence,"$2,679",4443 sqft,Yes,$461,R2816319,,Residential,2024,,"7521 205 A St, Langley, BC",6,6,4,17/09/2023,"$2,049,000"
363,Single Family Residence,"$9,791",2073 sqft,Yes,"$2,411",R2817937,,Residential,1974,,"21162 43 Ave, Langley, BC",3,3,8,20/09/2023,"$4,999,000"
364,Single Family Residence,"$16,251",3000 sqft,Yes,"$1,166",R2825584,,Residential,1968,,"22970 Highway No 10, Langley, BC",2,4,2,12/10/2023,"$3,500,000"
365,Apartment/Condominium,"$3,072",894 sqft,Yes,$860,R2819501,,Residential,2021,,"A105 - 8150 207 St, Langley, BC",2,2,0,24/09/2023,"$769,000"
366,Single Family Residence,"$8,616",3599 sqft,No,"$4,167",R2742189,,Residential,1985,,"2935 197 A St, Langley, BC",2,4,4,06/12/2022,"$14,999,999"
